,Ashbya_gossypii_ATCC_10895,Aspergillus_fumigatus_Af293,Aspergillus_nidulans_FGSC_A4,Aspergillus_niger_CBS_513_88,Aspergillus_oryzae_RIB40,Candida_albicans_SC5314,Candida_albicans_WO-1,Candida_bracarensis,Candida_castellii,Candida_dubliniensis_CD36,Candida_glabrata_CBS_138,Candida_nivariensis,Candida_orthopsilosis,Coprinopsis_cinerea_okayama7,Cryptococcus_gattii_WM276,Cryptococcus_neoformans_var__grubii_H99,Cyberlindnera_jadinii_NBRC_0988,Debaryomyces_hansenii_CBS767,Encephalitozoon_cuniculi_GB-M1,Eremothecium_cymbalariae_DBVPG,Fusarium_verticillioides_7600,Kazachstania_africana_CBS_2517,Kluyveromyces_lactis_NRRL_Y-1140,Komagataella_pastoris_GS115,Lachancea_thermotolerans_CBS_6340,Magnaporthe_oryzae_70-15,Millerozyma_farinosa_CBS_7064,Myceliophthora_thermophila_ATCC_42464,Nakaseomyces_bacillisporus,Nakaseomyces_delphensis,Naumovozyma_castellii_CBS_4309,Nectria_haematococca_mpVI_77-13-4,Neurospora_crassa_OR74A,Ogataea_parapolymorpha_DL-1,Podospora_anserina_S_mat,Saccharomyces_cerevisiae_S288c,standard_deviation
snR34,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,10.132845415430838
snR35,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,2,0,1,1,1,0,0,1,0,1,24.469739804296353
snR36,1,1,0,1,1,2,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,2,1,1,0,2,0,1,0,1,0,0,1,0,1,20.18693628796145
snR37,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,77.17014859328725
snR42,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,2,0,1,1,1,0,0,0,0,1,88.14897738790208
snR43,1,0,0,0,0,2,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,2,0,1,1,1,0,0,1,0,1,28.26527232903852
snR44,1,0,0,0,0,2,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,30.901901236008115
snR46,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,10.482201257840671
snR49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,8.12403840463596
snR5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,20.189353630069487
snR65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
snR8,1,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,2,0,1,1,1,0,0,1,0,1,22.099790861989337
snR80,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,9.871170143402454
snR81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
snR82,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,1,33.23401871576773
snR83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,51.402212987380224
snR84,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,134.2403524363007
snR85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
snR86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,218.56063231972954
snR9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.7416573867739413
